基金会名称,财务年度,净资产,总收入,捐赠收入,投资收益,服务收入,政府补助收入,其他收入,业务活动成本,管理费用,筹资费用,其他费用,费用合计,总支出,公益事业支出,工资福利支出,行政办公支出,其他支出,法人捐赠,自然人捐赠,境内捐赠,境外捐赠
北海天宁慈善基金会,2013,1918713.43,34056.16,21560,12496.16,0,0,0,250000,-28342.5,880,0,222537.5,387486,258200,30000,99286,0,20000,1560,21560,0
福建农林大学教育发展基金会,2013,16860855.22,10908010.5,10694284,0,0,0,213726.5,1400783.85,46142.4,0,0,1446926.25,1446926.25,1400783.85,39700,6442.4,,10594284,100000,10450000,244284
福建省扶贫基金会,2013,10492113.24,6425691,5375000,446660,0,600000,4031,6040396.8,232805.98,0,0,6273202.78,6037705.97,5800000,118485.12,77320.85,41900,0,5375000,5375000,0
广西妇女儿童发展基金会,2013,6614637.1,3898045.64,3389580,0,0,0,508465.64,2591636.5,180464.88,0,0,2772101.38,2772101.38,2591636.5,59580.7,12814.07,108070.11,3319580,70000,3389580,0
广西国海扶贫助学基金会,2013,3040782.94,1440.19,0,0,0,0,1440.19,303900,-226568.13,0,380,77711.87,303900,303900,0,0,0,0,0,0,0
宁夏回族自治区关心下一代基金会,2013,4830445.16,873057.29,709665.98,0,0,0,163391.31,732246.35,51876.24,0,0,784122.59,784122.59,732246.35,42632.01,9244.23,0,628409.5,81256.48,709665.98,0
福建省龙岩扶贫基金会,2013,9574226.36,901373.49,200000,0,0,0,701373.49,880000,70938,0,0,950938,950938,880000,41130,29808,0,200000,0,200000,0
福建省石竹慈善基金会,2013,3702224.32,4741631.42,4724100,0,0,0,17531.42,11053000,170626.9,0,0,11223626.9,9053000,9053000,0,0,0,4724100,0,4724100,0
广西李宁基金会,2013,5068391.16,4003042.35,3996708.24,0,0,0,6334.11,2422148.03,852977.89,0,0,3275125.92,3275125.92,2422148.03,337268.51,515709.38,0,3996708.24,0,89999,3906709.24
广西吕贻标爱心基金会,2013,10123472.92,10542000,10030000,512000,0,0,0,257187,0,-6953.02,31157.64,281391.62,418527.08,228515,68911.73,14389,106711.35,10030000,0,10030000,0
广西民族大学教育基金会,2013,5094234.73,14535895.61,14443145,0,0,0,92750.61,114431450,4161.6,0,0,114435611.6,11447306.6,11443145,0,4161.6,,3000000,11443145,14443145,0
福州大学教育发展基金会,2013,29544022.31,17987360.13,17382547.71,0,0,0,604812.42,9135440,22388.5,0,0,9157828.5,9007828.5,8985440,18000,4388.5,0,15691300,1691247.71,17332640,49907.71
林则徐基金会,2013,6156953.17,2292971.92,620000,0,0,1620000,52971.92,2176908.1,72438.07,18113.9,0,2267460.07,2114799.07,2042361,40963.8,31474.27,0,0,620000,620000,0
广西壹方慈善基金会,2013,2460049.74,1652966.62,1615556.8,0,0,0,37409.82,1060213.44,114455.59,18799.1,61.25,1193529.38,1193529.38,1060213.44,97584.17,16871.42,18860.35,565289.8,1050267,1615556.8,0
厦门中山医院基金会,2013,12545279.51,2615657.08,2035000,576468.32,0,0,4188.76,1429775.06,113732.79,98063.96,0,1641571.81,1375587.27,1261854.48,48900,64832.79,0,0,2035000,2035000,0
福建省正荣公益基金会,2013,3025074.24,14075717.16,14068800,0,0,0,6917.16,10852843.32,188941.6,8858,0,11050642.92,11041784.92,10852843.32,10855,178086.6,0,12060000,2008800,14068800,0
湖南飞翔公益基金会,2013,17464048.04,231314.04,0,0,0,0,231314.04,1500000,3086,0,0,1503086,1503086,1500000,0,3086,0,0,0,0,0
湖南青年创业就业基金会,2013,19196444.01,13823625,13090000,733625,0,0,0,12057055,958997.17,-109692.12,0,12906360.05,12906360.05,12057055,233949.08,615355.97,0,12440000,650000,13090000,0
湖南省扶贫基金会,2013,1672702.41,2434899.06,1650000,0,0,746697.24,38201.82,2208883.8,731407.24,0,0,2940291.04,2208883.8,2208883.8,0,0,0,1650000,0,1650000,0
湖南省湖湘文化基金会,2013,3130129.26,941956.22,938558,0,0,0,3398.22,543100,56798,0,0,599898,599898,543100,30000,26798,0,723558,215000,938558,0
河南省福兴儿童公益基金会,2013,2073008.06,552954.1,421155.57,126000,0,0,5798.53,151195.8,328333.74,416.5,0,479946.04,253390.65,151195.8,2031,100163.85,0,420407.78,747.79,421155.57,0
河北省佛教慈善基金会,2013,7789115.6,3927425.42,3927425.42,0,0,0,0,3170369.35,598287.26,-24335.32,0,3744321.29,3768656.61,3170369.35,200764.9,158091.46,239430.9,0,3927425.42,3927425.42,0
阿里巴巴公益基金会,2013,50996108.68,14251623.53,14055950.33,0,0,0,195673.2,14044203,367383.51,0,0,14411586.51,14411586.51,14044203,0,367383.51,,10776340,3279610.33,14055950.33,0
安利公益基金会,2013,84141460.59,49310215.08,45759555.17,0,0,950000,2600659.91,73210587.57,755097.95,669164.42,0,74634849.94,75387395.91,73210587.57,1401471.41,658693.08,116643.85,33521188.9,12238366.27,45238366.27,521188.9
北京大学教育基金会,2013,2990371519,1489656769,1395841806,91980598.44,0,0,1834365.3,209366023.3,-34260149.77,1146123.98,211678.6,176463676.1,175105873.5,209366023.3,3111731,3998929.11,-41370809.88,1337731186,58110619.56,1280144137,115697669
北京科技大学教育发展基金会,2013,40659756.03,18369454.71,18305876,0,0,0,63578.71,4203977,15640.52,0,0,4219617.52,4219617.52,4203977,0,15640.52,,10567977,7737899,18305876,0
比亚迪慈善基金会,2013,22481733.06,3448929.67,2551980,0,0,0,896949.67,6568750.99,146200.83,0,0,6714951.82,6714951.82,6568750.99,138192.83,8008,,0,2551980,2551980,0
传媒大学教育基金会,2013,39181998.17,12855872.06,12520000,0,0,0,335872.06,6369142.6,75632.98,0,0,6444775.58,6444775.58,6369142.6,0,75632.98,,12388500,131500,12520000,0
顶新公益基金会,2013,28272221.23,26370834.47,25926853.6,0,0,0,443980.87,17841576.11,750635.3,43.68,0,18592255.09,19575655.7,17841576.11,1336962.6,397116.99,0,25805541.6,121312,25926853.6,0
海仓慈善基金会,2013,50019514.46,4112044.47,4100000,0,0,0,12044.47,4024000,130066.62,711.48,0,4154778.1,4154066.62,4024000,11126.44,118940.18,0,4100000,0,4100000,0
