项目编码,受助单位名称,资助金额
63990,爱佑慈善基金会,3000000
64114,爱佑慈善基金会,3500000
65610,爱佑慈善基金会,1090000
70032,爱佑慈善基金会,2000000
80714,爱佑慈善基金会,3500000
80643,爱佑慈善基金会,2081221.77
83721,爱佑慈善基金会,2538045.69
62873,爱佑慈善基金会,4700000
90092,爱佑慈善基金会,500000
91195,爱佑慈善基金会,5000000
91211,爱佑慈善基金会,7500000
91212,爱佑慈善基金会,390647.72
91317,爱佑慈善基金会,2870349.52
91320,爱佑慈善基金会,2000000
91320,爱佑慈善基金会,5000000
95315,爱佑慈善基金会,3081764.43
99183,爱佑慈善基金会,1000000
106221,爱佑慈善基金会,4000000
108475,爱佑慈善基金会,10000000
109292,爱佑慈善基金会,4500000
109293,爱佑慈善基金会,5000000
110450,爱佑慈善基金会,6510000
110450,爱佑慈善基金会,6120912.31
110635,爱佑慈善基金会,4038012.99
125067,爱佑慈善基金会,
65626,北京大学教育基金会,100000
88215,北京大学教育基金会,200000
99293,北京大学教育基金会,23000000
99337,北京大学教育基金会,72000
99869,北京大学教育基金会,168000
99877,北京大学教育基金会,100000
103415,北京大学教育基金会,200000
106978,北京大学教育基金会,1500000
106998,北京大学教育基金会,200000
107900,北京大学教育基金会,200000
107967,北京大学教育基金会,23000000
110429,北京大学教育基金会,127930
110430,北京大学教育基金会,500000
116941,北京大学教育基金会,180000
91073,北京航空航天大学教育基金会,
96667,北京理工大学教育基金会,100000
86360,传媒大学教育基金会,3000000
104165,传媒大学教育基金会,2500000
63051,华民慈善基金会,85000
65653,华民慈善基金会,175000
92560,华民慈善基金会,100000
67974,华润慈善基金会,1000000
65684,南都公益基金会,1000000
92787,南都公益基金会,6000000
92732,南都公益基金会,1000000
92762,南都公益基金会,1000000
92800,南都公益基金会,2000000
99797,南都公益基金会,45650
105712,南都公益基金会,499506.44
83530,南都公益基金会,5000000
62979,清华大学教育基金会,300000
63055,清华大学教育基金会,1000000
64034,清华大学教育基金会,160000
80582,清华大学教育基金会,296800000
85665,清华大学教育基金会,105000
87828,清华大学教育基金会,2000000
90538,清华大学教育基金会,5000000
91111,清华大学教育基金会,450000
96062,清华大学教育基金会,345000
103662,清华大学教育基金会,100000
91893,清华大学教育基金会,5000000
88991,清华大学教育基金会,100000000
106539,清华大学教育基金会,500000
107999,清华大学教育基金会,71970
109343,清华大学教育基金会,6204500
114570,清华大学教育基金会,1700000
110166,清华大学教育基金会,3500000
110163,清华大学教育基金会,1200000
110171,清华大学教育基金会,1000000
120996,清华大学教育基金会,2800000
119826,吴作人国际美术基金会,1000000
95469,心和公益基金会,2080876.37
93246,友成企业家扶贫基金会,
96446,中国癌症基金会,600000
107002,中国癌症基金会,400000
73167,中国红十字基金会,50000
90535,中国红十字基金会,300000
110446,中国红十字基金会,5000000
121334,中国红十字基金会,6500000
62915,中华国际科学交流基金会,4000000
87953,中国发展研究基金会,1645000
92792,中国发展研究基金会,8000000
106538,中国发展研究基金会,4800000
107332,中国发展研究基金会,
107467,中国发展研究基金会,
123851,中国人口福利基金会,1000000
103693,浙江大学教育基金会,2000000
117539,浙江大学教育基金会,400000
116757,浙江大学教育基金会,20000
120943,浙江大学教育基金会,100000
69767,济南市残疾人福利基金会,150000
99949,济南市残疾人福利基金会,5000000
69746,济南市残疾人福利基金会,458355
69746,济南市残疾人福利基金会,470690
110577,济南市残疾人福利基金会,229800
106857,中国听力医学发展基金会,394000
69731,青岛市残疾人福利基金会,500000
69767,青岛市残疾人福利基金会,200000
100042,青岛市残疾人福利基金会,464533
100023,青岛市残疾人福利基金会,2000000
69746,青岛市残疾人福利基金会,912255
69746,青岛市残疾人福利基金会,293598
69767,青岛市残疾人福利基金会,1000000
83385,山东环境保护基金会,100000
90012,山东环境保护基金会,120000
105871,山东环境保护基金会,55000
98544,山东环境保护基金会,150000
83059,中国法律援助基金会,500000
90996,中国法律援助基金会,
61642,中国华侨公益基金会,10000
67167,中国华侨公益基金会,3000000
81861,中国华侨公益基金会,50000
87929,中国华侨公益基金会,375000
89005,中国华侨公益基金会,1000000
123873,中国华侨公益基金会,750000
92743,招商局慈善基金会,500000
69731,山东省残疾人福利基金会,500000
90063,山东省残疾人福利基金会,30000
100001,山东省残疾人福利基金会,2294850
69746,山东省残疾人福利基金会,2500000
110531,山东省残疾人福利基金会,2040000
110541,山东省残疾人福利基金会,4691250
99739,山东省老龄事业发展基金会,130000
65574,中国残疾人福利基金会,1660000
91289,中国残疾人福利基金会,1500000
120887,中国残疾人福利基金会,5001332
95497,中国初级卫生保健基金会,
96899,山东省青少年发展基金会,6538584.66
83516,山东省青少年发展基金会,6511713.5
96887,山东省青少年发展基金会,6538584.66
63986,中国儿童少年基金会,1320000
91110,中国儿童少年基金会,1000000
102263,中国儿童少年基金会,150000
