基金会名称,排名,分数
爱佑慈善基金会,1, 100.00 
北京大学教育基金会,19, 93.60 
北京交通大学教育基金会,1, 100.00 
传媒大学教育基金会,190, 64.00 
海仓慈善基金会,710, 11.20 
华民慈善基金会,1, 100.00 
华润慈善基金会,1, 100.00 
凯风公益基金会,133, 72.40 
李四光地质科学奖基金会,220, 60.09 
南都公益基金会,1, 100.00 
人保慈善基金会,258, 56.00 
清华大学教育基金会,64, 81.20 
桃源居公益事业发展基金会,1, 100.00 
王振滔慈善基金会,126, 73.20 
吴阶平医学基金会,66, 80.80 
吴作人国际美术基金会,1, 100.00 
香江社会救助基金会,165, 68.28 
友成企业家扶贫基金会,1, 100.00 
中国癌症基金会,126, 73.20 
中国红十字基金会,1, 100.00 
中华国际科学交流基金会,190, 64.00 
中国禁毒基金会,284, 54.40 
中国发展研究基金会,4, 98.80 
中国马克思主义研究基金会,25, 91.60 
宝钢教育基金会,184, 64.80 
慈济慈善事业基金会,1, 100.00 
华阳慈善基金会,364, 48.80 
浙江大学教育基金会,1, 100.00 
中国听力医学发展基金会,33, 89.60 
青岛市残疾儿童医疗康复基金会,348, 49.60 
中华社会文化发展基金会,164, 68.40 
中国法律援助基金会,128, 72.80 
中国华侨公益基金会,10, 96.40 
招商局慈善基金会,1, 100.00 
山东省儿童少年福利基金会,239, 57.60 
山东省老龄事业发展基金会,640, 27.60 
中国残疾人福利基金会,1, 100.00 
中国初级卫生保健基金会,1, 100.00 
中国儿童少年基金会,1, 100.00 
中国扶贫基金会,1, 100.00 
中国妇女发展基金会,1, 100.00 
中国古生物化石保护基金会,1, 100.00 
山东省彩虹援助基金会,364, 48.80 
中国关心下一代健康体育基金会,180, 65.60 
中国光彩事业基金会,158, 69.20 
中国光华科技基金会,1, 100.00 
中国国际文化交流基金会,25, 91.60 
中国华文教育基金会,160, 68.80 
中国华夏文化遗产基金会,177, 66.00 
安徽省儿童少年基金会,133, 72.40 
安徽省中小学幼儿教师奖励基金会,202, 62.80 
中国健康促进基金会,403, 46.26 
安徽天徽慈善基金会,721, 5.60 
中国交响乐发展基金会,211, 61.41 
中国教师发展基金会,1, 100.00 
中国科学技术大学教育基金会,250, 56.80 
中国教育发展基金会,1, 100.00 
温州市永乐科技奖励医疗救助基金会,218, 60.40 
杭州市关爱孤儿基金会,118, 74.18 
浙江省发展侨务事业基金会,64, 81.20 
中国金融教育发展基金会,1, 100.00 
浙江省网易慈善基金会,59, 82.40 
中国老龄事业发展基金会,64, 81.20 
中国留学人才发展基金会,292, 53.55 
中国绿化基金会,38, 88.64 
中国民航科普基金会,232, 58.40 
中国农业大学教育基金会,10, 96.40 
中国青少年发展基金会,1, 100.00 
中国人寿慈善基金会,214, 61.20 
中国少年儿童文化艺术基金会,260, 55.88 
中国少数民族文化艺术基金会,203, 62.40 
中国社会福利基金会,13, 95.07 
中国宋庆龄基金会,460, 44.00 
中国医药卫生事业发展基金会,86, 77.20 
中国移动慈善基金会,25, 91.60 
中国艺术节基金会,571, 36.80 
浙江省扶贫基金会,59, 82.40 
中国志愿服务基金会,184, 64.80 
中华环境保护基金会,1, 100.00 
中华健康快车基金会,62, 81.60 
中华少年儿童慈善救助基金会,1, 100.00 
中华社会救助基金会,34, 89.51 
中华思源工程扶贫基金会,1, 100.00 
中央财经大学教育基金会,136, 72.00 
中远海运慈善基金会,1, 100.00 
周培源基金会,169, 67.60 
北京中艺艺术基金会,348, 49.60 
北京新阳光慈善基金会,1, 100.00 
北京华亚艺术基金会,48, 85.60 
北京友好传承文化基金会,54, 83.60 
北京市企业家环保基金会,1, 100.00 
杭州市送温暖工程基金会,64, 81.20 
北京协和医学基金会,54, 83.60 
浙江正泰公益基金会,1, 100.00 
北京万通公益基金会,1, 100.00 
浙江省老年事业发展基金会,65, 80.90 
浙江省娃哈哈慈善基金会,66, 80.80 
浙江永强慈善基金会,263, 55.64 
杭州市老龄事业发展基金会,663, 24.80 
桐庐县老龄事业发展基金会,633, 28.40 
北京水源保护基金会,26, 91.43 
福建海西青年创业基金会,428, 45.19 
福建集美大学教育发展基金会,534, 40.15 
福建农林大学教育发展基金会,256, 56.40 
北京市鸿儒金融教育基金会,1, 100.00 
北京市仁爱慈善基金会,1, 100.00 
福建省黄仲咸教育基金会,486, 42.85 
北京科技大学教育发展基金会,197, 63.20 
北京市西部阳光农村发展基金会,1, 100.00 
福建省潘振东教育基金会,708, 12.00 
北京市希望公益基金会,329, 50.80 
福建省石竹慈善基金会,258, 56.00 
福州大学教育发展基金会,214, 61.20 
北京文化发展基金会,35, 89.20 
林则徐基金会,108, 75.60 
北京市美疆助学基金会,42, 88.03 
厦门中山医院基金会,537, 39.86 
北京光华慈善基金会,1, 100.00 
北京市搜候中国城市文化基金会,48, 85.60 
北京市中国人民大学教育基金会,132, 72.46 
福建省扶贫基金会,202, 62.80 
福建省发展体育事业基金会,216, 60.80 
福建省妇女儿童发展基金会,25, 91.60 
闽都中小银行教育发展基金会,197, 63.20 
福建省龙岩扶贫基金会,364, 48.80 
上海工商界爱国建设特种基金会,490, 42.64 
上海唐君远教育基金会,203, 62.40 
北京市戏曲艺术发展基金会,151, 69.88 
上海联和新泰战略研究与发展基金会,375, 48.00 
北京绿化基金会,39, 88.52 
上海交通大学教育发展基金会,474, 43.27 
北京工业大学教育基金会,23, 92.40 
北京青少年发展基金会,1, 100.00 
上海市防癌抗癌事业发展基金会,341, 49.96 
上海能近公益基金会,31, 90.40 
上海特殊关爱基金会,184, 64.80 
北京节能与电力技术开发基金会,322, 51.20 
上海夏征农民族文化教育发展基金会,197, 63.20 
北京妇女儿童发展基金会,5, 98.40 
上海联劝公益基金会,1, 100.00 
北京市长江科技扶贫基金会,1, 100.00 
上海民建扶帮公益基金会,264, 55.60 
北京世纪慈善基金会,14, 94.80 
北京工商大学教育基金会,1, 100.00 
上海市拥军优属基金会,291, 53.60 
上海宋庆龄基金会,1, 100.00 
上海市华侨事业发展基金会,1, 100.00 
上海市儿童基金会,88, 77.07 
上海市青少年发展基金会,117, 74.40 
上海交响乐团文化发展基金会,232, 58.40 
爱德基金会,1, 100.00 
江苏长江平民教育基金会,261, 55.77 
常熟理工学院教育发展基金会,560, 38.00 
常州工程职业技术学院教育发展基金会,666, 24.67 
河北省红十字基金会,108, 75.60 
江苏昌明教育基金会,1, 100.00 
江苏海澜教育发展基金会,336, 50.40 
江苏宏大青少年人才发展基金会,224, 59.60 
江苏华夏慈善基金会,706, 12.80 
山西省创业就业基金会,228, 59.20 
江苏省儿童少年福利基金会,1, 100.00 
江苏省扶贫基金会,348, 49.60 
江苏省青少年发展基金会,234, 58.16 
天津市鹤童老年公益基金会,107, 75.68 
天津中国民航大学教育发展基金会,184, 64.80 
天津市宏志教育基金会,348, 49.60 
天津市滨海社会救助基金会,336, 50.40 
天津市妇女儿童发展基金会,320, 51.27 
江苏陶欣伯助学基金会,1, 100.00 
天津市人口福利基金会,348, 49.60 
刘天华阿炳中国民族音乐基金会,279, 54.80 
南京大学教育发展基金会,1, 100.00 
南京工业大学教育发展基金会,364, 48.80 
南京金鹰国际慈济基金会,348, 49.60 
包头市扶贫基金会,364, 48.80 
科左后旗扶贫助学基金会,364, 48.80 
老牛基金会,1, 100.00 
南京市中小学幼儿教师奖励基金会,348, 49.60 
南京信息大学教育发展基金会,721, 5.60 
南通市爱心帮困基金会,675, 24.00 
内蒙古民族青年文化艺术基金会,348, 49.60 
内蒙古青年创业就业基金会,708, 12.00 
内蒙古云曙碧公益事业基金会,348, 49.60 
内蒙古自治区儿童基金会,721, 5.60 
无锡灵山慈善基金会,1, 100.00 
盐城市扶贫基金会,517, 41.22 
张家港市农联爱心基金会,348, 49.60 
江苏宏德文化出版基金会,207, 62.00 
江苏七彩凤凰母语发展基金会,662, 24.97 
江苏沙钢公益基金会,336, 50.40 
江苏省关心下一代基金会,663, 24.80 
江苏中大公益基金会,663, 24.80 
南京新城市慈善基金会,364, 48.80 
扬州市翔宇妇女儿童基金会,336, 50.40 
黑龙江省妇女儿童基金会,385, 47.11 
南航“十分”关爱基金会,216, 60.80 
腾讯公益慈善基金会,1, 100.00 
万科公益基金会,210, 61.60 
广西荣和爱心基金会,692, 18.40 
广西桂嘉汇青少年儿童救助基金会,384, 47.20 
黑龙江省华侨经济文化基金会,426, 45.21 
广西李宁基金会,384, 47.20 
广西国海扶贫助学基金会,207, 62.00 
哈尔滨市老年基金会,348, 49.60 
广西壮族自治区扶贫基金会,322, 51.20 
广西妇女儿童发展基金会,180, 65.60 
海南改革发展研究基金会,699, 15.60 
海南省李惠智教育基金会,186, 64.40 
辽宁爱之光防盲基金会,229, 58.80 
广东省中山大学教育发展基金会,123, 73.60 
沈阳市职工爱心慈善基金会,203, 62.40 
广东省扶贫基金会,18, 93.93 
深圳市青少年发展基金会,1, 100.00 
广州市青少年发展基金会,166, 68.15 
辽宁省妇女儿童基金会,710, 11.20 
广州市南山自然科学学术交流基金会,304, 52.80 
吉林师范大学助学基金会,222, 60.00 
广州市职工济难基金会,638, 28.00 
深圳市警察基金会,121, 74.00 
广东省人口基金会,37, 88.80 
广东省合生珠江教育发展基金会,304, 52.80 
广东省环境保护基金会,184, 64.80 
广州市振兴粤剧基金会,314, 52.00 
吉林大学教育基金会,210, 61.60 
梅州市希望教育基金会,314, 52.00 
广东省教育基金会,167, 68.00 
陕西省老龄事业发展基金会,348, 49.60 
深圳市绿色基金会,180, 65.60 
延安教科文发展基金会,529, 40.45 
陕西省西安市老龄事业发展基金会,224, 59.60 
深圳市老龄事业发展基金会,720, 6.40 
东莞市东莞理工学院教育发展基金会,126, 73.20 
广东省志愿者事业发展基金会,503, 42.00 
深圳市综研软科学发展基金会,4, 98.80 
陕西纯山教育基金会,85, 77.60 
广州市禁毒基金会,207, 62.00 
广东省豪爵慈善基金会,304, 52.80 
广东省华南理工大学教育发展基金会,278, 54.82 
陕西省红十字基金会,28, 91.20 
陕西妇女儿童发展基金会,1, 100.00 
广东省华美教育慈善基金会,218, 60.40 
青海省雪域仁济慈善基金会,364, 48.80 
广东省东风日产阳光关爱基金会,721, 5.60 
广东省利海绿色基金会,707, 12.40 
广东省绿景慈善基金会,291, 53.60 
宁夏煤炭职工扶贫济困基金会,348, 49.60 
宁夏回族自治区扶贫基金会,348, 49.60 
新疆妇女儿童发展基金会,1, 100.00 
广东省妇女儿童基金会,1, 100.00 
重庆孤残儿童援助基金会,149, 70.00 
广东省消防救助基金会,394, 46.67 
广东省千禾社区公益基金会,1, 100.00 
重庆市法律援助基金会,70, 80.00 
深圳市博时慈善基金会,304, 52.80 
广东省春桃慈善基金会,22, 93.10 
广东省卓越慈善基金会,364, 48.80 
重庆浙商爱心基金会,136, 72.00 
广州市羊城志愿服务基金会,229, 58.80 
广东省惠民慈善基金会,494, 42.52 
广东省广东外语外贸大学教育发展基金会,255, 56.51 
重庆市妇女儿童基金会,144, 70.80 
重庆宣传文化发展基金会,694, 17.60 
湖南省长郡未来基金会,654, 25.60 
湖南省文化艺术基金会,218, 60.40 
湖南弘慧教育发展基金会,1, 100.00 
湖南省长沙理工大学教育基金会,384, 47.20 
湖南飞翔公益基金会,364, 48.80 
湖南省中南林业科技大学教育基金会,232, 58.40 
湖南省扶贫基金会,242, 57.22 
湖南省青少年发展基金会,1, 100.00 
湖南省老龄事业发展基金会,364, 48.80 
湖南青年创业就业基金会,522, 40.79 
湖南省妇女儿童发展基金会,41, 88.07 
江西省革命老区爱心基金会,678, 22.80 
河南省宋庆龄基金会,222, 60.00 
中南财经政法大学教育发展基金会,25, 91.60 
武汉大学马克昌法学基金会,264, 55.60 
湖北省青年创业就业基金会,600, 33.60 
湖北省体育基金会,364, 48.80 
四川省国电大渡河爱心帮扶基金会,273, 55.20 
成都市老龄事业发展基金会,202, 62.80 
四川省青年创业就业基金会,33, 89.60 
四川电子科技大学教育发展基金会,85, 77.60 
云南省俊发教育扶贫基金会,210, 61.60 
云南大益爱心基金会,12, 95.20 
云南民族文化发展基金会,256, 56.40 
云南教育基金会,86, 77.20 
云南省绿色环境发展基金会,180, 65.60 
云南省青年创业就业基金会,24, 92.00 
云南省扶贫基金会,97, 76.40 
贵州省春晖行动发展基金会,232, 58.40 
贵州省贵阳市生态文明基金会,184, 64.80 
贵州省青年创业就业基金会,371, 48.51 
贵州文化薪火乡村发展基金会,4, 98.80 
北京中国石油大学教育基金会,32, 90.00 
中国经济改革研究基金会,92, 76.73 
北京康盟慈善基金会,36, 88.92 
浙江省人民教育基金会,87, 77.19 
浙江省李书福资助教育基金会,54, 83.60 
浙江千手慈善基金会,155, 69.41 
绍兴市柯桥区中厦慈善基金会,70, 80.00 
杭州市余杭区老年基金会,76, 78.80 
南通市老区扶贫基金会,521, 40.80 
四川省志愿服务基金会,218, 60.40 
河南足球事业发展基金会,197, 63.20 
芜湖市爱心助学基金会,336, 50.40 
安徽省青年创业就业基金会,608, 32.39 
北京民生文化艺术基金会,85, 77.60 
深圳市郑卫宁慈善基金会,1, 100.00 
海门文明村爱心基金会,415, 45.77 
北京利星行慈善基金会,702, 14.40 
广东省茂华慈善基金会,224, 59.60 
黄奕聪慈善基金会,1, 100.00 
上海恩德公益基金会,184, 64.80 
中国绿色碳汇基金会,72, 79.60 
江苏省美德基金会,500, 42.13 
上海民生艺术基金会,304, 52.80 
比亚迪慈善基金会,239, 57.60 
张家港市七里庙村利民基金会,635, 28.19 
北京中央民族大学教育基金会,137, 71.96 
神华公益基金会,48, 85.60 
宁夏青年创业就业基金会,681, 22.40 
福建省侨联事业发展基金会,348, 49.60 
浙江省阳光教育基金会,1, 100.00 
建德市老龄事业发展基金会,401, 46.32 
青岛市天泰公益基金会,348, 49.60 
山东省青年创业就业基金会,654, 25.60 
黑龙江省东北林业大学教育发展基金会,336, 50.40 
黑龙江省青年创业就业基金会,364, 48.80 
惠州市协和医疗救助基金会,720, 6.40 
广东省麦田教育基金会,1, 100.00 
北京京华公益事业基金会,1, 100.00 
福州市人口福利基金会,364, 48.80 
辽宁省青年创业基金会,348, 49.60 
四川成都蓝光助学基金会,336, 50.40 
晋江市陈埭民族中学教育基金会,364, 48.80 
湖北省妇女儿童发展基金会,160, 68.80 
河北省青年就业创业基金会,348, 49.60 
湖北省宜昌一中教育发展基金会,695, 17.20 
深圳壹基金公益基金会,1, 100.00 
北京百度公益基金会,68, 80.40 
泛海公益基金会,33, 89.60 
河仁慈善基金会,121, 74.00 
顶新公益基金会,25, 91.60 
广东省环球公益基金会,228, 59.20 
广东省华南农业大学教育发展基金会,300, 53.12 
上海慈慧公益基金会,1, 100.00 
厦门观音寺慈善基金会,364, 48.80 
北京瑞普华老年救助基金会,52, 84.40 
阿拉善生态基金会,186, 64.40 
长沙市志愿服务基金会,348, 49.60 
河南省儿童希望救助基金会,1, 100.00 
河南省光彩事业基金会,216, 60.80 
华中科技大学教育发展基金会,23, 92.40 
武汉理工大学教育发展基金会,86, 77.20 
长江大学教育发展基金会,184, 64.80 
中国地质大学(武汉)教育发展基金会,1, 100.00 
哈尔滨师范大学教育发展基金会,348, 49.60 
山东省中国海洋大学教育基金会,202, 62.80 
黑龙江大学教育发展基金会,384, 47.20 
黑龙江省体育发展基金会,700, 15.20 
安徽韩再芬黄梅艺术基金会,337, 50.35 
长安大学教育基金会,193, 63.86 
甘肃妇女儿童发展基金会,453, 44.34 
青海妇女儿童发展基金会,538, 39.76 
江汉大学教育发展基金会,348, 49.60 
北京中国国家博物馆事业发展基金会,44, 87.60 
北京金融街慈善基金会,51, 84.80 
苏州公安大病特困救助基金会,675, 24.00 
连云港正大天晴爱心基金会,720, 6.40 
安利公益基金会,1, 100.00 
上海华信公益基金会,167, 68.00 
长春工程学院教育基金会,533, 40.27 
石家庄市志愿服务基金会,364, 48.80 
北京华彬文化基金会,59, 82.40 
北京爱它动物保护公益基金会,33, 89.60 
浙江大学宁波理工学院教育发展基金会,59, 82.40 
中南大学教育基金会,70, 80.00 
云南华商公益基金会,710, 11.20 
北京中央音乐学院教育基金会,53, 84.00 
云南君仁博爱基金会,600, 33.60 
广东省方圆公益基金会,364, 48.80 
广东省保利地产和谐文化基金会,348, 49.60 
广东省唯品会慈善基金会,368, 48.60 
河北石家庄二中教育发展基金会,348, 49.60 
温州市实验中学教育发展基金会,256, 56.40 
浙江泰隆慈善基金会,216, 60.80 
浙江省革命老区发展基金会,218, 60.40 
吴江盛虹爱心基金会,348, 49.60 
苏州和合文化基金会,170, 67.20 
广东省山海源慈善基金会,1, 100.00 
宁夏麦丽燕基金会,506, 41.93 
台州市老年事业发展基金会,216, 60.80 
江西师范大学教育发展基金会,697, 16.40 
亿利公益基金会,128, 72.80 
永恒慈善基金会,239, 57.60 
河南大学教育发展基金会,5, 98.40 
宁波鄞州银行公益基金会,1, 100.00 
海南成美慈善基金会,1, 100.00 
淮阴工学院教育发展基金会,661, 25.05 
广东省执信教育发展基金会,593, 34.65 
广东省广州中医药大学教育发展基金会,179, 65.63 
江苏省扬州中学教育发展基金会,364, 48.80 
北京市戈友公益援助基金会,127, 73.04 
青岛大学教育发展基金会,348, 49.60 
